mess_id,mess_name,city,food_type,monthly_price,seating_capacity,hygiene_score,taste_score,consistency_score,punctuality_score,avg_rating,total_reviews,complaint_ratio,retention_months,trust_score,veg_days_per_week,special_items_count
f48de606-26cc-40af-9907-aacc1abebd59,Annapurna Mess,Nashik,veg+egg,4002,125,4.04,3.76,4.04,4.37,4.05,146,0.24,10,3.5,6,5
c2eed64d-e982-43bd-b0fc-4fcaaf919d8b,Daily Thali,Nagpur,veg+nonveg,3723,51,4.88,3.53,3.34,3.96,3.93,142,0.35,2,3.43,6,5
b521fbf9-c26a-45ac-b751-fecae3638518,Green Plate Mess,Mumbai,veg+nonveg,4245,79,4.43,3.67,4.0,4.46,4.14,167,0.39,3,3.52,5,5
d96b5231-fc06-4726-b0e6-8d06b6ac0368,Fresh Plate Mess,Mumbai,veg,2809,113,3.53,4.95,4.66,3.38,4.13,59,0.16,2,3.66,7,7
a63a4f1b-4f37-42ce-8c29-2524c3f06f28,Maa Tiffin,Aurangabad,veg,3449,102,4.28,4.56,3.7,3.45,4.0,92,0.19,8,3.59,7,5
0168c320-447d-4544-96a2-dc41903bcc0b,Sai Mess,Nashik,veg+nonveg,2843,56,4.59,4.22,4.24,4.26,4.33,176,0.26,11,3.79,7,5
2150b2b5-9fd3-4e05-9800-8910f55a1e5a,Fresh Plate Mess,Pune,veg+egg,2620,127,4.29,3.48,3.01,4.08,3.72,179,0.17,7,3.29,7,4
de3f818f-37ea-4aa4-a4cc-03282428c049,Campus Tiffin,Mumbai,veg+egg,2557,63,4.46,3.62,4.05,4.61,4.18,83,0.31,3,3.59,5,6
cb54144e-c4a2-4351-9b2a-82ae330be3ae,Shree Mess,Pune,veg,2774,141,3.2,4.34,3.66,3.35,3.64,35,0.15,12,3.2,7,5
35ad2ff2-1f91-4ae2-a68e-de164ef464b8,Sai Mess,Aurangabad,veg+nonveg,3083,150,4.18,4.38,3.3,3.62,3.87,193,0.59,2,3.26,6,4
70679aa4-f0c3-4f86-8ed0-41c9568cad68,Fresh Plate Mess,Solapur,veg,4395,98,4.22,3.83,3.89,4.26,4.05,111,0.24,1,3.52,6,8
ebcd3614-539d-48e7-ae63-b14fe62c7e4e,Shree Mess,Pune,veg+egg,2968,148,3.67,3.54,4.18,4.2,3.9,23,0.21,3,3.35,6,4
0147d87f-b240-4bbb-8577-be818a902372,Annapurna Mess,Nashik,veg+egg,3920,75,5.0,3.53,4.2,3.71,4.11,38,0.03,8,3.76,7,1
27c48c73-007e-4155-a918-57dd0ce7e67d,Shree Mess,Nagpur,veg+nonveg,3990,111,3.1,4.65,3.57,4.77,4.02,184,0.07,4,3.49,7,3
78a85d81-d673-471a-8a3f-d287f96b7fa9,Daily Thali,Aurangabad,veg+egg,3124,125,3.71,4.86,3.6,4.43,4.15,177,0.43,9,3.5,7,6
3886076c-99c3-41a5-a077-d857ac8a9bce,Shree Mess,Mumbai,veg+egg,4192,114,5.0,3.53,3.9,4.55,4.24,139,0.22,10,3.74,7,1
d2e61a52-3dcb-437d-a12b-5b12b1156c0c,Fresh Plate Mess,Nagpur,veg+nonveg,2750,117,3.08,4.29,4.01,4.76,4.04,160,0.13,4,3.45,5,7
9b78d622-c695-4eb1-b632-639b8f72cb03,HomeStyle Meals,Nagpur,veg,4112,69,5.0,3.78,4.17,4.38,4.33,81,0.2,4,3.84,6,2
57d9336e-b48c-4ee1-a113-66d9f358f749,Smart Mess,Shirpur,veg+egg,3750,121,3.0,3.25,3.83,3.76,3.46,68,0.16,9,2.96,6,5
9b6e0b6a-e05b-4225-b89d-989aba6ceb00,Shree Mess,Mumbai,veg,2825,51,4.09,3.93,3.45,3.9,3.84,151,0.26,3,3.35,7,3
873b9175-7a8d-4b96-b617-707df65cd8dd,Daily Thali,Pune,veg+nonveg,2583,123,4.49,3.56,3.32,3.36,3.68,10,0.17,1,3.32,7,2
deb4568b-ad38-4b87-9b33-fea08145cd23,Daily Thali,Solapur,veg+nonveg,2877,63,3.4,5.0,3.94,3.68,4.0,29,0.2,3,3.51,7,6
d2e93cf0-e6a2-4e67-a838-bb4b47189bbc,Hostel Bhojan,Pune,veg+nonveg,3148,104,3.69,3.51,4.2,3.98,3.84,116,0.3,5,3.27,5,6
6982d895-6f49-43eb-8a91-3ff2e033cbc7,Maa Tiffin,Shirpur,veg+nonveg,3809,135,3.34,4.17,3.35,4.58,3.86,43,0.23,6,3.29,5,2
53c074a1-1bc8-4b36-a6ec-e4931609e4b7,Daily Thali,Pune,veg,4053,130,2.79,3.73,4.48,4.37,3.84,119,0.35,4,3.15,6,6
e2146140-3b6e-4a98-aa23-4fcdd074cfc8,Green Plate Mess,Aurangabad,veg+egg,2853,74,4.39,2.95,3.45,4.64,3.86,58,0.24,1,3.32,7,2
7ab51573-31c2-4061-89ee-2c478f194119,HomeStyle Meals,Aurangabad,veg+egg,3131,58,5.0,3.16,4.92,3.68,4.19,148,0.03,5,3.81,7,6
51c0af4c-eb08-4f10-8162-532b8b615eb1,Green Plate Mess,Pune,veg,2956,109,4.54,3.47,5.0,4.26,4.32,89,0.1,4,3.82,5,4
077a0b7d-99b5-496d-a06d-db3d9d413f17,Fresh Plate Mess,Nagpur,veg+nonveg,2550,132,3.94,4.54,4.06,4.24,4.2,197,0.34,7,3.6,7,8
e504c82d-adb0-4385-b742-4496cf9d9a3c,Hostel Bhojan,Solapur,veg+egg,3774,63,5.0,3.85,4.52,4.42,4.45,98,0.18,2,3.94,7,1
84568bf7-8028-4c2f-9549-0251926541e4,Smart Mess,Mumbai,veg+egg,3365,77,3.98,3.61,4.38,3.37,3.84,75,0.03,11,3.46,5,3
c58de5ca-1d2e-4c15-b5ac-8f5fe2a37ce9,Green Plate Mess,Shirpur,veg+nonveg,4393,129,3.99,3.79,3.69,3.84,3.83,86,0.24,12,3.34,5,4
5a1757f1-f55b-4c10-8c99-fd1e64a789bd,Sai Mess,Nagpur,veg+nonveg,3323,89,2.46,3.01,3.34,4.08,3.22,85,0.1,10,2.72,5,6
8b8fc334-46b9-48c9-a16a-9b784b02d235,Daily Thali,Nagpur,veg+nonveg,2726,109,4.23,3.54,2.76,3.92,3.61,43,0.31,3,3.14,6,3
db613e00-903f-459b-ba33-70b64c7b8ed0,Hostel Bhojan,Aurangabad,veg,4471,45,4.23,4.35,4.74,4.36,4.42,112,0.08,2,3.92,5,4
07f7a61e-c1be-4d26-bdb3-6ab951a9cefb,HomeStyle Meals,Nagpur,veg+egg,2634,122,4.94,4.45,3.93,4.15,4.37,111,0.04,7,3.98,5,6
2a79cb52-a429-4eec-b14e-4b505a8a796a,Campus Tiffin,Mumbai,veg,3091,136,4.33,4.1,3.52,4.34,4.07,58,0.06,11,3.65,7,8
b35b0207-8202-4f09-bc19-eb18c8a36ca0,Shree Mess,Nagpur,veg,2375,96,4.18,3.46,4.11,4.93,4.17,145,0.03,7,3.67,6,1
80519710-7b94-4e26-a6e8-7d007b5294ee,HomeStyle Meals,Mumbai,veg+egg,2311,115,3.77,4.34,4.07,4.98,4.29,46,0.23,11,3.66,7,2
ac4e4896-de73-4895-903a-2aee35853551,Fresh Plate Mess,Aurangabad,veg+egg,3185,125,4.04,3.5,3.19,3.85,3.64,83,0.37,4,3.12,7,8
65985247-1fad-49f8-b759-4e4854ff5a00,Maa Tiffin,Solapur,veg+egg,3673,105,3.97,3.05,3.47,4.58,3.77,191,0.25,1,3.21,7,5
59b9e5c4-3282-47cc-99f0-057f720f7476,Green Plate Mess,Nagpur,veg,3652,127,4.93,4.16,3.24,3.82,4.04,114,0.09,2,3.7,6,3
00e5e0c4-ac10-41cc-8a01-c810e2cd8b29,Fresh Plate Mess,Mumbai,veg,3668,139,4.43,4.22,4.44,4.77,4.46,103,0.22,8,3.88,5,8
d4156e14-794b-4f1b-82ba-ceebe28c0569,Shree Mess,Nagpur,veg+egg,4094,63,4.44,4.21,3.58,4.6,4.21,184,0.06,5,3.76,7,3
e82ca7c4-8b40-475b-a3e8-f70c4c33b1f0,HomeStyle Meals,Nagpur,veg,2588,80,3.85,3.35,2.98,4.15,3.58,114,0.25,4,3.09,6,8
7117d06f-dda1-4683-8a3c-5be13f9ad8e3,Hostel Bhojan,Nagpur,veg,3257,114,4.07,3.34,3.85,4.49,3.94,177,0.03,6,3.48,6,6
b4b566e8-d540-4d00-8a4e-93955f20ff44,Shree Mess,Pune,veg+nonveg,2608,90,2.97,4.12,3.48,3.68,3.56,111,0.31,5,3.01,5,2
2db55a95-fb82-4a24-9169-74e08333c691,Shree Mess,Nashik,veg,3967,81,4.58,4.24,3.28,4.11,4.05,33,0.11,5,3.65,7,4
fd9cbca1-d9b9-4359-99b9-77880cb0a802,Annapurna Mess,Pune,veg+egg,2397,92,3.9,3.23,3.97,3.63,3.68,10,0.22,5,3.21,5,1
93b541c8-dea3-4a51-a857-ea9eafbee305,Hostel Bhojan,Nashik,veg+nonveg,4274,145,2.29,4.46,3.42,4.52,3.67,60,0.17,10,3.08,7,1
0677cdae-8512-480b-9065-837f56ad78aa,Campus Tiffin,Pune,veg+nonveg,4459,126,3.61,3.58,3.74,4.33,3.82,82,0.23,11,3.26,6,1
d88a246d-7715-4ca8-be2b-9a60922a3141,Student Kitchen,Aurangabad,veg,3366,97,4.31,4.44,4.17,4.5,4.36,151,0.06,6,3.88,5,6
36a60f60-dc48-4db5-875c-ef75d0951162,Annapurna Mess,Pune,veg+egg,4245,93,3.47,4.78,3.89,4.71,4.21,43,0.3,8,3.57,5,5
f60713b6-5140-4339-b4c1-7fe92d667900,Green Plate Mess,Nagpur,veg+nonveg,4375,41,3.01,4.28,4.68,4.17,4.04,199,0.07,5,3.5,7,4
650a2779-8055-4f7a-8e6e-44bc4a264b78,Smart Mess,Nashik,veg+egg,3670,80,3.95,3.54,4.49,3.92,3.98,187,0.19,1,3.46,7,1
6f9e6c8c-a57f-4a71-8df3-3397e006ac09,Green Plate Mess,Aurangabad,veg+egg,3617,100,3.61,3.64,4.72,3.85,3.95,74,0.12,8,3.45,7,1
0157186c-b7b4-419d-ac6a-275c5659a500,Student Kitchen,Aurangabad,veg+egg,2273,89,3.53,4.12,3.56,4.19,3.85,19,0.24,7,3.31,5,2
115b85ff-cb5d-40f0-849b-f94467c789ee,Annapurna Mess,Pune,veg+nonveg,4268,98,2.99,3.53,3.36,4.55,3.61,79,0.25,4,3.01,6,5
a080cdc0-3ff9-4d7f-9804-e200907f86d5,Smart Mess,Nagpur,veg+nonveg,3963,148,3.54,4.47,3.52,4.5,4.01,196,0.08,3,3.52,6,1
97a450d9-08e3-491c-803b-59734b54bbad,Campus Tiffin,Nashik,veg,2315,111,3.71,3.94,2.56,3.88,3.52,37,0.38,4,3.0,5,3
ecd09596-6ade-4ac6-881d-982a1e5ab992,Student Kitchen,Pune,veg,3922,97,4.17,4.34,4.55,3.72,4.19,87,0.05,1,3.78,5,4
3425027f-d797-4b34-aedf-a344a60880cb,Hostel Bhojan,Shirpur,veg+egg,4381,51,3.56,3.58,3.9,4.51,3.89,27,0.21,11,3.31,5,3
499dcd88-64e8-4c99-a27a-303358728fac,Fresh Plate Mess,Shirpur,veg+egg,3606,122,3.77,3.76,3.65,4.38,3.89,153,0.04,11,3.44,6,6
16b3beb8-9d20-4d61-92fe-4d7cfd864945,Green Plate Mess,Nagpur,veg+egg,4223,100,3.9,3.2,3.48,4.22,3.7,63,0.07,10,3.26,7,6
233f5fdc-89e0-4dc1-9269-8d81b2b2a461,Fresh Plate Mess,Pune,veg+egg,2497,83,3.18,5.0,4.05,4.5,4.18,122,0.13,8,3.62,7,1
59ad4446-89e5-48ec-a699-39b723663de2,Student Kitchen,Aurangabad,veg+egg,2587,93,3.61,4.58,3.47,3.91,3.89,48,0.17,2,3.42,6,8
a95284f8-1e51-468b-a40b-f8c3b299788e,Campus Tiffin,Nagpur,veg+nonveg,2315,58,4.49,4.31,3.6,3.88,4.07,179,0.25,12,3.6,6,8
1dcefcad-13e8-4c36-a56a-ee6750490622,Student Kitchen,Mumbai,veg+nonveg,4049,127,4.13,3.6,4.28,4.59,4.15,155,0.04,11,3.66,7,4
8719f36f-7300-4553-93cc-030f5be0fed4,Hostel Bhojan,Solapur,veg+egg,3521,64,4.28,3.01,4.53,4.51,4.08,200,0.24,5,3.5,7,1
a96e151e-d512-4c9b-8266-9a4272820505,Student Kitchen,Mumbai,veg+nonveg,2927,91,3.96,4.01,3.68,4.87,4.13,114,0.05,12,3.63,7,6
fdca963b-2e26-4816-9595-d7c8b204bfd9,Green Plate Mess,Nashik,veg+egg,4322,68,4.23,3.25,4.05,3.85,3.84,71,0.1,6,3.42,6,1
ba78bd97-ab99-4d7b-8fd7-36ef18111612,Green Plate Mess,Pune,veg,2459,69,4.65,4.06,4.04,3.65,4.1,119,0.05,4,3.74,5,2
262a6e1e-a284-460e-ab11-250ff8f886cd,HomeStyle Meals,Nashik,veg+egg,4346,101,4.74,4.43,3.96,4.22,4.34,184,0.29,8,3.81,5,6
2da26068-29ef-447f-a554-8fdea190aacd,Maa Tiffin,Aurangabad,veg+egg,2548,129,4.33,4.27,3.46,4.48,4.14,48,0.08,9,3.69,6,3
0b6d0f54-b9ec-4a23-a6e3-853d0c14181c,Hostel Bhojan,Aurangabad,veg,4007,82,4.51,3.34,3.57,3.77,3.8,132,0.1,8,3.42,7,4
de79660d-4e12-43dd-a7a3-77b449221324,HomeStyle Meals,Aurangabad,veg+nonveg,3738,40,4.25,3.52,4.6,3.9,4.07,176,0.23,11,3.54,5,6
167a9ee9-bbc0-4dec-9d67-36c39fc2f6aa,Green Plate Mess,Pune,veg+egg,4330,64,3.49,3.83,3.51,4.45,3.82,24,0.38,12,3.18,5,5
4c6dae69-8bfc-4e2d-a979-cd56fd261a8e,Maa Tiffin,Aurangabad,veg+egg,2288,103,3.72,4.25,3.43,4.32,3.93,43,0.05,5,3.49,5,8
02e0b724-e46f-479d-8a49-1b199ea8d639,HomeStyle Meals,Nashik,veg+egg,2246,98,4.68,4.05,4.5,4.08,4.33,65,0.31,6,3.77,6,3
622187d7-52f3-4b0f-aa3a-c20359fc8ed1,Shree Mess,Nagpur,veg,2433,87,3.71,4.48,3.67,3.84,3.92,100,0.05,1,3.52,7,2
c063b2fb-2cf4-41f3-b4f3-418026e835ef,Annapurna Mess,Mumbai,veg+egg,3943,62,3.79,4.07,3.41,3.26,3.63,136,0.26,10,3.2,5,5
2379fc66-b4d1-4bd6-bcea-5f69a1f68d18,Hostel Bhojan,Shirpur,veg+nonveg,2696,74,3.51,3.67,4.32,4.79,4.07,80,0.17,12,3.47,5,7
98fecf62-d011-4e85-af6b-6a27c6bf03c9,Annapurna Mess,Pune,veg+egg,4017,122,3.42,4.95,3.67,3.97,4.0,141,0.23,4,3.48,7,6
b43ab0e5-e7e0-498a-a62a-a58d610764f4,Sai Mess,Nashik,veg+egg,2616,128,3.86,4.31,3.26,3.66,3.77,110,0.11,2,3.38,6,2
f72806f8-9e32-4f0e-9cd5-d5f9be011d1b,Daily Thali,Shirpur,veg+nonveg,2420,129,3.22,4.08,3.24,4.14,3.67,185,0.19,2,3.16,6,3
aaa78c55-565c-40aa-9073-46a688af1f7a,Student Kitchen,Solapur,veg+egg,3396,111,4.39,4.99,3.81,4.13,4.33,139,0.18,11,3.86,7,8
2d4ca084-aeca-4d01-9e00-75de35608423,Maa Tiffin,Pune,veg,3983,79,4.34,4.29,3.66,3.96,4.06,79,0.24,3,3.58,7,8
4b53938b-8097-4946-b30b-e574ec68c339,Student Kitchen,Aurangabad,veg+egg,4391,110,5.0,3.91,5.0,4.74,4.66,84,0.3,6,4.04,7,3
65b6befa-eef2-4402-8b9e-01583f9348b6,HomeStyle Meals,Nagpur,veg+egg,3578,55,4.44,4.51,3.78,4.37,4.27,47,0.05,4,3.85,5,5
557385a6-9758-423e-9e5f-c3559f2a5285,Student Kitchen,Nashik,veg+nonveg,2208,130,3.56,4.38,4.19,3.54,3.92,124,0.1,8,3.48,6,4
37fa4540-9b7c-46af-9685-cec2a1a85b3e,Annapurna Mess,Shirpur,veg+egg,3505,114,4.02,3.92,3.9,4.8,4.16,84,0.13,1,3.62,7,7
7c75ddd0-08c2-41c5-b6c9-598150e292a6,Sai Mess,Nagpur,veg+egg,4309,59,4.84,3.44,3.33,4.34,3.99,100,0.14,8,3.56,5,2
95f1b858-6cb3-4f2a-a670-52fcbfd2d4f5,Fresh Plate Mess,Pune,veg,4214,116,3.95,3.92,3.39,3.94,3.8,48,0.44,2,3.21,6,2
c1b601ac-0b23-42e2-8ca9-78cd86af8df3,Shree Mess,Pune,veg+nonveg,3575,48,4.02,4.04,4.12,4.66,4.21,177,0.33,11,3.57,5,8
993c3e8b-5588-468d-b3fc-da6d47021969,Daily Thali,Mumbai,veg+egg,3336,143,4.04,4.01,3.61,4.09,3.94,136,0.07,5,3.51,7,5
576217df-404d-4c40-9c44-cea0cdc36e76,Green Plate Mess,Pune,veg+egg,2516,53,3.3,3.91,3.25,5.0,3.86,121,0.17,1,3.28,6,8
12b7bb20-a6ae-4426-b907-4b05ed8991fa,Daily Thali,Pune,veg+nonveg,2763,125,4.04,3.81,4.21,4.08,4.04,41,0.06,1,3.59,5,3
1cbc94f9-aac7-4955-862a-a66b45a5fcae,Hostel Bhojan,Shirpur,veg,3259,44,4.3,4.06,3.55,4.72,4.16,50,0.41,8,3.52,7,3
509fcee1-b97c-4ee5-8a84-a54f3f3a3667,Daily Thali,Nashik,veg+nonveg,2973,105,3.34,4.21,3.32,3.81,3.67,141,0.27,7,3.16,5,1
157e8847-0373-49c8-8692-7e2b37f911cf,HomeStyle Meals,Nashik,veg,2881,87,3.22,4.08,3.62,3.48,3.6,24,0.18,4,3.14,7,4
1b82d274-e172-44e7-882f-5dd2150511b5,Smart Mess,Solapur,veg+nonveg,3786,114,3.47,3.96,3.52,3.22,3.54,120,0.21,4,3.11,6,6
5e9ed22a-0bd5-406d-b520-26daa0da7ef8,Smart Mess,Mumbai,veg,3720,125,4.82,4.74,3.8,4.61,4.49,104,0.16,4,4.0,5,6
fa77ab28-8dbe-462e-85f3-072be6df7abb,Sai Mess,Nashik,veg+egg,4060,104,3.92,3.93,3.45,4.27,3.89,95,0.19,9,3.39,5,1
e802b2e9-6d32-4f3b-8000-9d5d5989b098,Campus Tiffin,Nagpur,veg+egg,2217,82,2.69,3.87,4.21,4.34,3.78,48,0.2,8,3.17,5,2
7c492d63-582c-450f-a720-fb0898bce6ff,Maa Tiffin,Mumbai,veg+egg,2606,48,4.08,4.14,3.54,3.89,3.91,95,0.19,8,3.46,6,8
65073ea3-fdca-4a53-9f31-c754db7647e3,Maa Tiffin,Shirpur,veg+egg,4268,135,4.47,3.9,3.5,5.0,4.22,71,0.3,7,3.62,5,3
bdd70e9c-26d9-49da-9e84-4ea8aea9330c,Student Kitchen,Shirpur,veg,2968,63,3.55,5.0,2.97,4.29,3.95,196,0.59,1,3.26,7,3
5770c151-3d94-433b-9a12-42accf292546,Daily Thali,Mumbai,veg+nonveg,2695,57,4.58,3.52,3.47,3.57,3.78,138,0.2,7,3.38,6,8
4a3f4809-5d64-4938-a97a-4b5902f56139,Smart Mess,Shirpur,veg+nonveg,4472,138,3.79,3.65,3.43,4.37,3.81,67,0.1,7,3.34,5,3
43ed86b9-d468-412c-a53f-def7e58fb106,Green Plate Mess,Nashik,veg+nonveg,2420,63,3.97,3.22,4.34,4.94,4.12,110,0.25,4,3.48,7,1
46bd2dfe-987e-4089-9957-c3f9bece8439,Hostel Bhojan,Nashik,veg+egg,2387,72,4.41,4.78,3.36,3.97,4.13,99,0.27,3,3.65,7,2
7cb2e5aa-830d-4ac8-967c-f67e68ceef82,Maa Tiffin,Solapur,veg,2613,129,3.48,3.78,3.38,4.35,3.75,16,0.26,2,3.19,6,5
7003141f-11e0-415d-af01-60c4b3d3d876,Campus Tiffin,Solapur,veg+nonveg,3144,134,4.11,4.72,4.39,3.78,4.25,142,0.23,9,3.74,7,3
f32d4e26-91ae-493e-85fc-809ec44a980d,Hostel Bhojan,Shirpur,veg+egg,4007,117,3.39,4.67,3.93,4.24,4.06,95,0.2,11,3.51,7,1
d1d027ac-f485-4c4e-be62-737d94f1f318,Smart Mess,Mumbai,veg,2204,111,2.94,3.97,3.81,4.02,3.68,75,0.34,7,3.07,6,3
c4143d7f-9f51-4c62-930a-e4e1f5735311,Fresh Plate Mess,Shirpur,veg+egg,4282,116,4.58,3.44,3.58,4.37,3.99,102,0.26,6,3.48,6,6
9c8a7197-a5f3-49a2-a834-3dac5fff5f16,Green Plate Mess,Nashik,veg+nonveg,2883,77,3.58,3.43,3.01,4.54,3.64,194,0.11,2,3.16,5,3
08777760-d961-4a0f-be71-49f925563915,Green Plate Mess,Mumbai,veg+nonveg,2304,65,4.81,3.52,3.83,3.84,4.0,41,0.3,9,3.52,5,6
34e87173-56ca-4457-b85e-c4d524510385,HomeStyle Meals,Shirpur,veg+egg,2310,71,3.55,3.89,3.28,3.86,3.64,181,0.32,3,3.11,6,3
8ca64c7b-e0b3-453a-8a04-d7b1f050fa95,Sai Mess,Shirpur,veg+nonveg,3073,63,4.4,3.85,2.87,4.28,3.85,162,0.11,5,3.44,5,3
75460db9-b958-4375-a04d-c212ed750e02,Hostel Bhojan,Pune,veg+egg,4130,149,2.42,3.54,3.64,4.11,3.43,48,0.34,6,2.79,6,1
37a9e519-1513-43ed-9f8b-3925c17fba50,Smart Mess,Pune,veg+nonveg,3213,55,4.18,3.61,3.58,3.56,3.73,93,0.03,8,3.39,7,3
862598d1-6129-453e-b133-2048f32de128,Maa Tiffin,Nagpur,veg+egg,4415,101,3.76,3.38,3.68,3.55,3.59,69,0.29,12,3.1,6,7
